Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
-,911,1,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,5/11/2022 19:35,5/11/2022 19:44,NORTH,LINCOLN,L3
-,911,2,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),5/11/2022 19:32,5/11/2022 20:26,NORTH,UNION,U3
-,911,2,DIST - DV - NO ASLT,DIST - DV - NO ASLT,5/11/2022 19:23,5/11/2022 20:44,NORTH,NORA,N1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,4,"NOISE - DIST, GENERAL (CONST, RESID, BALL PLAY)",DISTURBANCE - NOISE,5/11/2022 19:17,5/11/2022 21:49,NORTH,UNION,U1
-,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER","DISTURBANCE, MISCELLANEOUS/OTHER",5/11/2022 19:14,5/11/2022 20:34,NORTH,UNION,U2
RESPONDING UNIT(S) CANCELLED BY RADIO,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 19:12,1/1/1900 0:00,NORTH,BOY,B1
-,911,2,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),5/11/2022 19:01,5/11/2022 21:28,WEST,DAVID,D3
ASSISTANCE RENDERED,ONVIEW,3,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/11/2022 18:57,5/11/2022 18:57,WEST,MARY,M2
ASSISTANCE RENDERED,ONVIEW,7,TRAF - ELUDING POLICE,TRAFFIC - MOVING VIOLATION,5/11/2022 18:45,5/11/2022 18:45,SOUTH,OCEAN,O3
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/11/2022 18:44,1/1/1900 0:00,NORTH,UNION,U2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,DUI - DRIVING UNDER INFLUENCE,TRAFFIC - D.U.I.,5/11/2022 18:34,5/11/2022 19:21,NORTH,NORA,N2
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/11/2022 18:29,5/11/2022 18:29,NORTH,BOY,B2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,DOWN - CHECK FOR DOWN PERSON,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 18:25,5/11/2022 18:31,WEST,KING,K3
-,911,2,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),5/11/2022 18:23,5/11/2022 23:04,WEST,QUEEN,Q2
ASSISTANCE RENDERED,911,1,"CHILD - IP/JO - ABAND, ABUSE, MOLEST, NEGLECT",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 18:22,5/11/2022 18:27,EAST,CHARLIE,C2
REPORT WRITTEN (NO ARREST),911,2,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT - ALL OTHER,5/11/2022 18:05,5/11/2022 20:58,NORTH,JOHN,J2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",1,SUICIDE - IP/JO SUICIDAL PERSON AND ATTEMPTS,CRISIS COMPLAINT - GENERAL,5/11/2022 18:02,5/11/2022 18:12,WEST,KING,K2
ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),2,ALARM - RESIDENTIAL - SILENT/AUD PANIC/DURESS,ALARM-RESIDENTIAL PANIC OR DURESS,5/11/2022 18:00,5/11/2022 20:02,WEST,QUEEN,Q1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - PROPERTY DESTRUCTION/DAMAGE,PROPERTY DEST (DAMG),5/11/2022 17:58,5/11/2022 17:59,SOUTHWEST,FRANK,F3
ASSISTANCE RENDERED,911,1,UNKNOWN - ANI/ALI - WRLS PHNS (INCL OPEN LINE),SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 17:52,5/11/2022 18:01,SOUTH,SAM,S2
REPORT WRITTEN (NO ARREST),ONVIEW,3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),5/11/2022 17:47,5/11/2022 17:47,SOUTH,OCEAN,O2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS - OTHER,5/11/2022 17:45,5/11/2022 18:49,WEST,KING,K2
ASSISTANCE RENDERED,911,2,VICE - PROSTITUTION,VICE - PROSTITUTION,5/11/2022 17:43,5/11/2022 18:22,NORTH,NORA,N2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS - HAZARDS,5/11/2022 17:41,5/11/2022 20:50,EAST,GEORGE,G2
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 17:29,5/11/2022 17:43,NORTH,LINCOLN,L2
REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),"ASSAULTS, OTHER",5/11/2022 17:26,5/11/2022 17:32,WEST,MARY,M1
NO POLICE ACTION POSSIBLE OR NECESSARY,911,1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),"--ASSIST PUBLIC - 911 HANG UP, OPEN LINE",5/11/2022 17:04,5/11/2022 17:25,WEST,QUEEN,Q2
REPORT WRITTEN (NO ARREST),911,2,"BIAS -RACIAL, POLITICAL, SEXUAL MOTIVATION",DISTURBANCE - OTHER,5/11/2022 17:02,5/11/2022 17:16,NORTH,UNION,U2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,5/11/2022 16:52,5/11/2022 17:26,SOUTH,OCEAN,O3
REPORT WRITTEN (NO ARREST),911,2,SHOPLIFT - THEFT,THEFT - SHOPLIFT,5/11/2022 16:49,5/11/2022 16:56,WEST,MARY,M3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),DISTURBANCE - OTHER,5/11/2022 16:46,5/11/2022 16:58,SOUTHWEST,WILLIAM,W2
ASSISTANCE RENDERED,911,2,PROPERTY - DAMAGE,DISTURBANCE - OTHER,5/11/2022 16:44,5/11/2022 17:07,SOUTHWEST,WILLIAM,W1
ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - FOOT BEAT (FROM ASSIGNED CAR),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 16:20,5/11/2022 16:20,WEST,MARY,M1
ASSISTANCE RENDERED,911,2,SHOPLIFT - THEFT,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 16:18,5/11/2022 16:27,NORTH,UNION,U3
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/11/2022 16:12,5/11/2022 16:33,SOUTH,ROBERT,R2
PHYSICAL ARREST MADE,911,2,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,PROPERTY DEST (DAMG),5/11/2022 15:54,5/11/2022 16:01,WEST,KING,K2
ASSISTANCE RENDERED,911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),CRISIS COMPLAINT - GENERAL,5/11/2022 15:53,5/11/2022 16:02,EAST,CHARLIE,C3
ASSISTANCE RENDERED,911,2,DOWN - CHECK FOR DOWN PERSON,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 15:36,5/11/2022 15:47,NORTH,UNION,U3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,5/11/2022 15:30,5/11/2022 16:55,NORTH,BOY,B1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,DIST - DV - NO ASLT,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 15:21,5/11/2022 15:46,SOUTH,ROBERT,R2
ASSISTANCE RENDERED,911,2,DOWN - CHECK FOR DOWN PERSON,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 15:15,1/1/1900 0:00,EAST,CHARLIE,C3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - THEFT,THEFT - CAR PROWL,5/11/2022 15:10,5/11/2022 15:32,WEST,QUEEN,Q3
ASSISTANCE RENDERED,ONVIEW,2,TRAFFIC - BLOCKING ROADWAY,TRAFFIC - BLOCKING TRAFFIC,5/11/2022 15:07,5/11/2022 15:07,SOUTH,OCEAN,O2
PHYSICAL ARREST MADE,ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",TRAFFIC - D.U.I.,5/11/2022 14:40,5/11/2022 14:40,WEST,DAVID,D3
REPORT WRITTEN (NO ARREST),911,1,SUICIDE - IP/JO SUICIDAL PERSON AND ATTEMPTS,CRISIS COMPLAINT - GENERAL,5/11/2022 14:38,5/11/2022 15:05,NORTH,LINCOLN,L3
ASSISTANCE RENDERED,911,2,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 14:38,5/11/2022 15:11,SOUTHWEST,WILLIAM,W2
ORAL WARNING GIVEN,ONVIEW,3,LIQUOR VIOLATIONS - ADULT,INTOX & LIQ VIOLS - ADULTS (VIOLATIONS),5/11/2022 14:23,5/11/2022 14:23,WEST,MARY,M3
ORAL WARNING GIVEN,ONVIEW,3,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS - OTHER,5/11/2022 14:13,5/11/2022 14:13,WEST,MARY,M3
ASSISTANCE RENDERED,911,2,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),DISTURBANCE - OTHER,5/11/2022 14:06,5/11/2022 14:12,SOUTH,ROBERT,R2
FOLLOW-UP REPORT MADE,911,3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),5/11/2022 14:05,5/11/2022 14:30,SOUTHWEST,WILLIAM,W3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",AUTOMOBILES - RECOVERY (THEFT),5/11/2022 14:04,5/11/2022 14:04,WEST,KING,K1
ASSISTANCE RENDERED,911,1,FIGHT - IP - PHYSICAL (NO WEAPONS),ASSIST OTHER AGENCY - CITY AGENCY,5/11/2022 14:02,5/11/2022 14:05,SOUTH,ROBERT,R2
ORAL WARNING GIVEN,ONVIEW,2,TRESPASS,PROWLER - TRESPASS,5/11/2022 13:58,5/11/2022 13:58,WEST,MARY,M1
PROBLEM SOLVING PROJECT,ONVIEW,7,DIRECTED PATROL ACTIVITY,PREMISE CHECKS - BUSINESS CHECK,5/11/2022 13:58,5/11/2022 13:58,SOUTH,ROBERT,R1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),DISTURBANCE - OTHER,5/11/2022 13:43,5/11/2022 13:54,EAST,EDWARD,E3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,PROPERTY - DAMAGE,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 13:39,5/11/2022 14:07,EAST,CHARLIE,C3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,ONVIEW,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/11/2022 13:38,5/11/2022 13:38,NORTH,JOHN,J1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"LEWD -  (EXPOSING, FLASHING)",DISTURBANCE - OTHER,5/11/2022 13:24,5/11/2022 14:40,SOUTH,SAM,S2
ASSISTANCE RENDERED,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),DISTURBANCE - OTHER,5/11/2022 13:14,5/11/2022 13:36,WEST,MARY,M3
REPORT WRITTEN (NO ARREST),ONVIEW,3,PROPERTY - DAMAGE,PROPERTY DEST (DAMG),5/11/2022 13:11,5/11/2022 13:11,NORTH,UNION,U1
REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),"ASSAULTS, OTHER",5/11/2022 12:56,5/11/2022 13:01,EAST,EDWARD,E1
NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,2,WARRANT - FELONY PICKUP,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 12:40,5/11/2022 12:40,WEST,MARY,M1
REPORT WRITTEN (NO ARREST),911,3,RAPE,RAPE - UNKNOWN SUSPECT (STRANGER),5/11/2022 12:39,5/11/2022 19:07,EAST,EDWARD,E3
ORAL WARNING GIVEN,ONVIEW,2,TRESPASS,PROWLER - TRESPASS,5/11/2022 12:17,5/11/2022 12:17,WEST,DAVID,D2
ASSISTANCE RENDERED,ONVIEW,1,INJURED - IP/JO - PERSON/INDUSTRIAL ACCIDENT,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 12:15,5/11/2022 12:15,WEST,KING,K2
PHYSICAL ARREST MADE,911,2,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),THEFT - SHOPLIFT,5/11/2022 12:05,5/11/2022 12:14,WEST,MARY,M1
REPORT WRITTEN (NO ARREST),911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - MV COLLISION INVESTIGATION,5/11/2022 12:05,5/11/2022 12:23,NORTH,UNION,U3
PHYSICAL ARREST MADE,911,2,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"ASSAULTS - HARASSMENT, THREATS",5/11/2022 12:00,5/11/2022 12:58,NORTH,NORA,N2
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,5/11/2022 11:56,5/11/2022 11:56,WEST,DAVID,D1
ASSISTANCE RENDERED,911,2,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),ASSIST OTHER AGENCY - COUNTY AGENCY,5/11/2022 11:53,1/1/1900 0:00,SOUTH,ROBERT,R1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,DISTURBANCE - NOISE RESIDENTIAL,5/11/2022 11:49,5/11/2022 11:59,SOUTHWEST,WILLIAM,W3
PHYSICAL ARREST MADE,911,2,DIST - DV - NO ASLT,DV - DOMESTIC VIOLENCE (ARREST DISCRETIONARY),5/11/2022 11:40,5/11/2022 12:21,NORTH,JOHN,J2
REPORT WRITTEN (NO ARREST),911,2,DIST - DV - NO ASLT,"DV - ARGUMENTS, DISTURBANCE (NO ARREST)",5/11/2022 11:40,5/11/2022 11:54,EAST,EDWARD,E3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/11/2022 11:24,5/11/2022 12:39,EAST,CHARLIE,C1
ASSISTANCE RENDERED,ONVIEW,9,"ASSIGNED DUTY - TRANSPORT EVIDENCE,EQUIPMENT","ASSIGNED DUTY - TRANSPORT EVIDENCE,EQUIPMENT",5/11/2022 11:18,5/11/2022 11:18,SOUTH,OCEAN,O1
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/11/2022 11:15,1/1/1900 0:00,EAST,EDWARD,E3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,5/11/2022 11:08,5/11/2022 12:15,NORTH,LINCOLN,L2
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,5/11/2022 11:05,5/11/2022 11:05,WEST,MARY,M3
ASSISTANCE RENDERED,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 10:56,5/11/2022 11:04,WEST,DAVID,D2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,DOWN - CHECK FOR PERSON DOWN,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/11/2022 10:52,5/11/2022 11:18,EAST,GEORGE,G2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,SHOPLIFT - THEFT,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 10:49,5/11/2022 13:21,SOUTH,ROBERT,R3
REPORT WRITTEN (NO ARREST),911,3,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),"ASSAULTS, OTHER",5/11/2022 10:48,5/11/2022 14:08,EAST,EDWARD,E3
PHYSICAL ARREST MADE,911,2,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),"ASSAULTS, OTHER",5/11/2022 10:45,5/11/2022 10:50,WEST,MARY,M2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,NUISANCE - MISCHIEF,PROWLER - TRESPASS,5/11/2022 10:39,1/1/1900 0:00,EAST,GEORGE,G1
REPORT WRITTEN (NO ARREST),911,1,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,PERSON - RUNAWAY,5/11/2022 10:38,5/11/2022 10:52,SOUTH,ROBERT,R2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - ASLT - WITH OR W/O WPNS (NO SHOOTINGS),"ASSAULTS, OTHER",5/11/2022 10:36,5/11/2022 11:35,EAST,EDWARD,E1
ASSISTANCE RENDERED,911,2,ROBBERY (INCLUDES STRONG ARM),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/11/2022 10:26,1/1/1900 0:00,WEST,DAVID,D3
ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - CENTURYLINK STADIUM,TRAFFIC - TRAFFIC CONTROL (SPECIAL EVENTS),5/11/2022 10:24,5/11/2022 10:24,WEST,KING,K2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - COMMERCIAL BURGLARY,BURGLARY - NON RESIDENTIAL/COMMERCIAL,5/11/2022 10:16,5/11/2022 11:00,WEST,MARY,M3
ASSISTANCE RENDERED,ONVIEW,3,TRAFFIC - ASSIST MOTORIST,TRAFFIC - ASSIST MOTORIST,5/11/2022 10:13,5/11/2022 10:13,SOUTHWEST,FRANK,F1
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,5/11/2022 10:13,5/11/2022 10:13,UNKNOWN,,HS
ASSISTANCE RENDERED,911,2,"WEAPN - GUN,DEADLY WPN (NO THRTS/ASLT/DIST)",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 10:04,5/11/2022 10:09,NORTH,NORA,N3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - THEFT,THEFT - AUTO ACCESSORIES,5/11/2022 9:55,5/11/2022 10:45,SOUTHWEST,FRANK,F2
REPORT WRITTEN (NO ARREST),911,2,"LEWD -  (EXPOSING, FLASHING)",CRISIS COMPLAINT - GENERAL,5/11/2022 9:53,5/11/2022 10:12,WEST,DAVID,D3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",5,TRU - FOLLOW UP,PERSON - MISSING PERSON,5/11/2022 9:24,5/11/2022 9:55,UNKNOWN,,COMM
"INCIDENT LOCATED, PUBLIC ORDER RESTORED",911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/11/2022 9:24,5/11/2022 9:34,WEST,MARY,M1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,5/11/2022 9:11,5/11/2022 9:33,WEST,DAVID,D1
REPORT WRITTEN (NO ARREST),ONVIEW,2,ASSIST OTHER AGENCY - ROUTINE SERVICE,PREMISE CHECKS - HOMELESS ENCAMPMENT,5/11/2022 9:09,5/11/2022 9:09,NORTH,BOY,B2
ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - MEET W/ SUPERVISOR (OUT OF SVC),SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/11/2022 9:08,5/11/2022 9:08,SOUTHWEST,FRANK,F1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/11/2022 9:07,5/11/2022 12:26,EAST,GEORGE,G3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,5/11/2022 8:54,5/11/2022 8:54,WEST,MARY,M3
REPORT WRITTEN (NO ARREST),911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - MV COLLISION INVESTIGATION,5/11/2022 8:47,5/11/2022 8:55,EAST,EDWARD,E1
